"212126","HM连续3年上黑榜优衣库被罚近百万联合评级将上海华信主体信用等级由BBB下调至B"
"104766","新华网北京月日电记者李延霞王文帅记者日从中国保监会获悉，辽宁浙江保监局近日分别查处了辖区内的琛德保险代理公司负责人何丰以及杭州民丰保险代理有限公司涉嫌非法集资和传销等违法行为"
"106130","根据苏州市公安局交通巡逻警察支队虎丘大队出具的道路交通事故证明，本案交通事故责任无法认定，故原告在本案交通事故中无需承担责任，被告舒建英应承担本案交通事故的全部赔偿责任，但首先应由被告中国人民财产保险股份有限公司苏州市吴中支公司在交强险赔偿限额范围内对原告进行赔偿，超过交强险赔偿限额部分，由被告舒建英承担"
"103985","实际上，白金酒只是冰山角，近日来，茅台集团子公司茅台技术开发公司控股的子公司天朝上品也因为价格虚高，涉嫌传销等问题被推到了舆论的风口浪尖"
"105207","据统计，卢家帮通过这种手法入手了20多家网贷平台，目前警方明确定性的有人人爱家投之家天天财富壹佰金融中科金服聚胜财富翡翠岛理财火钱理财坚果理财邦邦理财等十多家，均因涉嫌非法吸收公众存款或集资诈骗立案，涉案金额超过600亿"
"206797","日融券卖出首超千万股金融股普遭看空凯马汽车软件造假造成超排曾因排放问题构成欺诈和科达董事梁海华窗口期减持或涉嫌违规交易"
"210668","远东股份财务总监汤礼华辞职两名中国人涉嫌通过58同城股票内幕交易获利200万美元"
"104479","打着网贷的幌子骗钱对外包装成P2P网贷平台,骗来的钱自融自用大肆挥霍,拆东墙补西墙导致资金链断裂,最后跑路2018年6月,位于佛山市禅城区的安稳投资管理咨询有限公司突然人去楼空,该公司的理财咖平台无法提现"
"102091","但记者注意到，民信贷掌悦理财等获得该协会企业信用评价级信用企业证书的平台已被警方定性为涉嫌非法吸收公众存款，立案侦查"
"102823","附上海市公安局各分局通报情况：1浦东12起近期，上海市公安局浦东分局对11起涉嫌非法吸收公众存款1起涉赚集资诈骗罪的案件立案侦查，案件情况通报如下：2018年6月27日，上海盐商集团有限公司实际控人吴某至公安机关投案，称公司通过设立线下门店及线上壹理财旺财猫等理财平台，在全国范围内向社会不特定公众非法吸收公众存款，已产生巨大资金缺口导致无法兑付投资人本息，上海市公安局浦东分局迅速立案侦查"
"105563","经初步调查，杭州富谦网络科技有限公司票票喵平台涉嫌集资诈骗有以下几方面证据：票票喵平台不同于般的P2P平台，它是以银行承兑汇票为融资标的完全金融性平台，每笔投资都是以专的银行承兑汇票为融资标的，融资到期后才承兑支付"
"102897","此前在6月22日，中晋非法集资案也已在快鹿中晋上榜1e租宝e租宝是迄今为止规模最大的非法集资案"
"104231","看似信息披露较为完善有担保保障，实际上存在很大的漏洞：是虚构标的，经向中国美术家协会求证，根本没有当代青年艺术家扶助计划二是单借款人，周盈宝系列产品均为同借款人，不管是否满标，持续募集三是借款人为P2P平台88财富借款人黄檀集雅担保公司中科创融资担保公司为同控制人，变相自融自保"
"103813","2015年12月，成都市公安局金牛分局针对成都同瑞资产管理有限公司以下简称成都同瑞西大金融非法吸收公众存款案立案侦查"
"106104","南宁市还披露了组数据，2018年以来，南宁市共查处网约车违法违规案件617起，其中滴滴607辆，高德1辆，首汽4辆，神州2辆，其他公司3辆"
"104351","今年7月份，网贷之家的兄弟公司投之家平台因涉嫌集资诈骗被警方立案，随后，牵出网贷行业最大的起连环诈骗，涉及人人爱家投之家天天财富壹佰金融中科金服聚胜财富翡翠岛理财火钱理财坚果理财邦邦理财等十多家平台，粗略统计各平台投资总额至少超过640亿元"
"105698","今年7月份，网贷之家的兄弟公司投之家平台因涉嫌集资诈骗被警方立案，随后，牵出网贷行业最大的起连环诈骗，涉及人人爱家投之家天天财富壹佰金融中科金服聚胜财富翡翠岛理财火钱理财坚果理财邦邦理财等十多家平台，粗略统计各平台投资总额至少超过640亿元"
